date,author,num_commits,num_lines_added,num_lines_removed
2022-07-18,lucasrodes,2,3,3
2022-07-19,GitHub Action,11,11,11
2022-07-19,Mojmir Vinkler,2,1728,117
2022-07-19,Pablo Rosado,5,395,13
2022-07-20,GitHub Action,12,12,12
2022-07-20,Marigold,1,1,1
2022-07-20,Pablo Rosado,11,936,111
2022-07-20,lucasrodes,5,301,58
2022-07-21,GitHub Action,20,20,20
2022-07-21,Mojmir Vinkler,1,12,2
2022-07-21,Pablo Rosado,3,850,126
2022-07-21,lucasrodes,5,33,24
2022-07-22,GitHub Action,13,13,13
2022-07-22,Pablo Rosado,2,275,183
2022-07-22,lucasrodes,4,166,12
2022-07-22,spoonerf,3,2066,26
2022-07-23,GitHub Action,11,11,11
2022-07-24,GitHub Action,10,10,10
2022-07-24,lucasrodes,2,38,1
2022-07-25,GitHub Action,18,18,18
2022-07-25,Lars Yencken,2,31,20
2022-07-25,Marigold,1,41,26
2022-07-25,Mojmir Vinkler,1,71,72
2022-07-25,Pablo Rosado,9,825,961
2022-07-25,spoonerf,6,140,128
2022-07-26,GitHub Action,19,19,19
2022-07-26,Lars Yencken,1,25,16
2022-07-26,Marigold,1,32,18
2022-07-26,Pablo Rosado,19,714,397
2022-07-26,lucasrodes,3,130,2
2022-07-26,spoonerf,1,17,2
2022-07-27,GitHub Action,11,11,11
2022-07-27,Lars Yencken,1,7,4
2022-07-27,Marigold,1,116,16
2022-07-27,Mojmir Vinkler,1,50,5
2022-07-27,Pablo Rosado,12,1171,1104
2022-07-27,lucasrodes,1,2,0
2022-07-27,spoonerf,6,1473,94
2022-07-28,Daniel Bachler,2,1104,18
2022-07-28,GitHub Action,19,19,19
2022-07-28,Marigold,4,32,17
2022-07-28,Mojmir Vinkler,3,73,23
2022-07-28,Pablo Rosado,15,1274,110
2022-07-28,spoonerf,3,7,3
2022-07-29,GitHub Action,17,18,18
2022-07-29,Lars Yencken,8,126,132
2022-07-29,Mojmir Vinkler,1,200,204
2022-07-29,Pablo Rosado,16,829,149
2022-07-30,GitHub Action,10,11,11
2022-07-31,GitHub Action,9,9,9
2022-08-01,Daniel Bachler,1,27,9
2022-08-01,GitHub Action,17,18,18
2022-08-01,Lars Yencken,9,846,202
2022-08-01,Marigold,1,1,1
2022-08-01,Pablo Rosado,5,1388,115
2022-08-01,spoonerf,4,71,40
2022-08-02,GitHub Action,15,16,16
2022-08-02,Lars Yencken,2,99,66
2022-08-02,Marigold,1,10,11
2022-08-02,Pablo Rosado,6,758,75
2022-08-02,spoonerf,4,14,44
2022-08-03,GitHub Action,20,20,20
2022-08-03,Lars Yencken,2,2,2
2022-08-03,Mojmir Vinkler,1,83,55
2022-08-03,Pablo Rosado,6,1931,109
2022-08-03,spoonerf,6,169,306
2022-08-04,GitHub Action,17,17,17
2022-08-04,Lars Yencken,5,31,18
2022-08-04,Marigold,1,1,1
2022-08-04,Pablo Rosado,8,1006,59
2022-08-05,GitHub Action,23,23,23
2022-08-05,Lars Yencken,1,127,0
2022-08-05,Mojmir Vinkler,1,1,1
2022-08-05,Pablo Rosado,6,404,73
2022-08-06,GitHub Action,8,8,8
2022-08-07,GitHub Action,8,8,8
2022-08-08,GitHub Action,8,8,8
2022-08-08,Pablo Rosado,4,303,153
2022-08-08,lucasrodes,3,34,4
2022-08-09,GitHub Action,12,12,12
2022-08-09,Lars Yencken,2,31,19
2022-08-09,Pablo Rosado,8,341,46
2022-08-09,lucasrodes,1,1,1
2022-08-10,Daniel Gavrilov,1,3,2
2022-08-10,GitHub Action,12,13,13
2022-08-10,Lars Yencken,1,121,121
2022-08-10,lucasrodes,1,43,42
2022-08-10,spoonerf,5,19,17
2022-08-11,GitHub Action,18,18,18
2022-08-11,Lars Yencken,4,13,10
2022-08-11,Pablo Rosado,10,827,54
2022-08-11,lucasrodes,12,100,34
2022-08-12,GitHub Action,12,12,12
2022-08-12,Pablo Rosado,3,26,32
2022-08-12,lucasrodes,5,191,165
2022-08-13,GitHub Action,8,8,8
2022-08-14,GitHub Action,8,8,8
2022-08-15,GitHub Action,13,13,13
2022-08-15,Mojmir Vinkler,1,71,26
2022-08-15,Pablo Rosado,11,726,647
2022-08-16,GitHub Action,8,8,8
2022-08-16,Mojmir Vinkler,1,22,9
2022-08-16,Pablo Rosado,2,145,16
2022-08-17,GitHub Action,16,16,16
2022-08-17,Pablo Rosado,7,113,1120
2022-08-18,GitHub Action,8,8,8
2022-08-18,Mojmir Vinkler,2,662,214
2022-08-18,Pablo Rosado,1,19,1
2022-08-19,GitHub Action,12,12,12
2022-08-19,lucasrodes,2,3,4
2022-08-20,GitHub Action,8,8,8
2022-08-21,GitHub Action,8,8,8
2022-08-22,GitHub Action,13,14,14
2022-08-22,Mojmir Vinkler,2,268,223
2022-08-22,Pablo Rosado,4,281,81
