date,author,num_commits,num_lines_added,num_lines_removed
2017-08-18,Jaiden Mispy,3,42,26
2017-08-21,Jaiden Mispy,6,311,119
2017-08-23,Jaiden Mispy,7,180,77
2017-08-24,Aibek Aldabergenov,1,826,0
2017-08-24,Jaiden Mispy,2,51,59
2017-08-25,Jaiden Mispy,9,289,237
2017-08-26,Aibek Aldabergenov,1,171,130
2017-08-28,Jaiden Mispy,5,182,150
2017-08-29,Jaiden Mispy,11,311,222
2017-08-30,Jaiden Mispy,5,419,232
2017-08-31,Jaiden Mispy,15,351,228
2017-09-01,Jaiden Mispy,5,278,216
2017-09-05,Jaiden Mispy,7,866,1163
2017-09-06,Jaiden Mispy,11,442,262
2017-09-07,Jaiden Mispy,32,995,37871
2017-09-08,Aibek Aldabergenov,1,358,0
2017-09-08,Jaiden Mispy,12,289,175
2017-09-09,Jaiden Mispy,1,38,29
2017-09-10,Aibek Aldabergenov,3,1346,250
2017-09-11,Aibek Aldabergenov,1,1,1
2017-09-11,Jaiden Mispy,15,1043,1925
2017-09-12,Aibek Aldabergenov,4,303,8
2017-09-12,Jaiden Mispy,15,1604,2100
2017-09-13,Aibek Aldabergenov,1,8,5
2017-09-13,Jaiden Mispy,5,361,174
2017-09-14,Aibek Aldabergenov,1,10,10
2017-09-14,Jaiden Mispy,16,778,677
2017-09-15,Aibek Aldabergenov,1,40,10
2017-09-15,Jaiden Mispy,6,245,54
2017-09-16,Jaiden Mispy,7,111,121
2017-09-18,Aibek Aldabergenov,2,16,7
2017-09-18,Jaiden Mispy,8,134,106
2017-09-19,Aibek Aldabergenov,1,1,1
2017-09-19,Jaiden Mispy,5,162,119
2017-09-20,Jaiden Mispy,1,125,95
2017-09-22,Jaiden Mispy,5,89,54
2017-09-26,Aibek Aldabergenov,1,186,5
2017-09-26,Jaiden Mispy,2,48,23
2017-09-28,Jaiden Mispy,7,193,88
2017-09-29,Jaiden Mispy,1,3,0
2017-10-02,Jaiden Mispy,3,99,71
2017-10-03,Aibek Aldabergenov,1,185,23
2017-10-03,Jaiden Mispy,4,19,15
2017-10-04,Jaiden Mispy,7,5523,5676
2017-10-05,Jaiden Mispy,4,148,55
2017-10-06,Jaiden Mispy,1,92,71
2017-10-09,Jaiden Mispy,4,47,54
2017-10-10,Aibek Aldabergenov,1,34,7
2017-10-10,Jaiden Mispy,1,137,112
2017-10-11,Jaiden Mispy,13,151,73
2017-10-12,Jaiden Mispy,5,127,57
2017-10-13,Jaiden Mispy,2,132,99
2017-10-14,Aibek Aldabergenov,1,910,0
2017-10-15,Aibek Aldabergenov,1,208,81
2017-10-16,Jaiden Mispy,2,27,29
2017-10-17,Jaiden Mispy,4,21,7
2017-10-18,Jaiden Mispy,4,42,23
2017-10-19,Jaiden Mispy,1,17,1
2017-10-21,Jaiden Mispy,1,305,165
2017-10-24,Aibek Aldabergenov,4,608,8
2017-10-27,Aibek Aldabergenov,4,658,1100
2017-10-28,Aibek Aldabergenov,2,1626,0
2017-11-01,Jaiden Mispy,4,98,77
2017-11-02,Jaiden Mispy,6,572,579
2017-11-03,Jaiden Mispy,4,71,117
2017-11-08,Aibek Aldabergenov,3,2357,312
2017-11-08,Jaiden Mispy,6,952,204
2017-11-09,Aibek Aldabergenov,5,2847,2
2017-11-09,Jaiden Mispy,2,107,86
2017-11-11,Aibek Aldabergenov,1,166,36
2017-11-14,Jaiden Mispy,5,177,207
